article_id,split,outlet,url,match
111111112,train,,,
111111113,train,,,
111111114,train,,,
111111115,train,,,
111111121,train,,,
111111122,train,,,
111111123,train,,,
111111124,train,,,
111111131,train,,,
111111132,train,,,
111111134,train,,,
111111136,train,,,
111111137,train,,,
694327499,train,,,
694356862,train,,,
694811415,train,shtfplan.com,http://www.shtfplan.com/headline-news/its-gotta-be-a-set-up-neighbor-of-las-vegas-shooter-claims-he-didnt-do-it_10032017,id
695108099,train,shtfplan.com,http://www.shtfplan.com/headline-news/receipt-shows-paddock-had-another-guest-in-his-room-before-shooting_10042017,id
695833178,train,shtfplan.com,http://www.shtfplan.com/headline-news/confirmed-authorities-lied-about-las-vegas-shooters-hotel-check-in-date-what-else-are-they-hiding_10062017,id
696246189,train,lewrockwell.com,https://www.lewrockwell.com/2017/10/no_author/suicide-note-seen-in-vegas-shooters-hotel-room-finally-explained/,id
696264594,train,frontpagemag.com,http://www.frontpagemag.com/fpm/268067/american-jewish-historical-society-hosts-destroy-daniel-greenfield,id
696694316,train,,,
696735702,train,,,
697444415,train,shtfplan.com,http://www.shtfplan.com/headline-news/las-vegas-shooting-victim-there-was-100-more-than-one-shooter-gates-to-concert-were-locked-shortly-before-attack_10122017,id
697454736,train,remnantnewspaper.com,http://remnantnewspaper.com/web/index.php/fetzen-fliegen/item/3474-la-stampa-s-robert-fastiggi-replies-to-chris-ferrara,id
697472447,train,freedomoutpost.com,https://freedomoutpost.com/security-guard-jesus-campos-shot-vegas-massacre-raises-new-questions-official-narrative/,id
697959084,train,shtfplan.com,http://www.shtfplan.com/conspiracy-fact-and-theory/eyewitness-confessional-there-was-an-active-shooter-targeting-the-bellagio-hotel-during-the-las-vegas-massacre_10142017,id
697996062,train,frontpagemag.com,http://www.frontpagemag.com/point/268126/two-dreamers-caught-smuggling-illegal-aliens-daniel-greenfield,id
698018235,train,frontpagemag.com,http://www.frontpagemag.com/point/268127/dan-fishback-its-okay-boycott-israeli-plays-not-daniel-greenfield,id
698092698,train,freedomoutpost.com,https://freedomoutpost.com/las-vegas-shooting-third-timeline-emerges/,id
698503276,train,,,
698719689,train,,,
698780559,train,shtfplan.com,http://www.shtfplan.com/experts/the-las-vegas-security-guard-credited-with-finding-shooter-mysteriously-vanished-into-thin-air_10172017,id
699142854,train,,,
699291100,train,shtfplan.com,http://www.shtfplan.com/headline-news/fbi-informant-threatened-after-offering-details-linking-clinton-foundation-to-russian-bribery-case_10192017,id
699478811,train,,,
700387229,train,shtfplan.com,http://www.shtfplan.com/forecasting/madagascar-hospitals-on-high-alert-no-one-is-safe-from-the-black-plague_10232017,id
700461600,train,,,
700551604,train,lewrockwell.com,https://www.lewrockwell.com/2017/10/jacob-hornberger/i-predict-trump-will-continue-the-cias-jfk-assassination-cover-up/,id
700662577,train,shtfplan.com,http://www.shtfplan.com/forecasting/puerto-ricos-power-grid-failure-is-causing-a-public-health-crisis-of-epic-proportions_10242017,id
701225819,train,frontpagemag.com,http://www.frontpagemag.com/fpm/268234/south-florida-muslim-leader-sofian-zakkouts-david-joe-kaufman,id
